Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Pakistan,PAK,2023,Agricultural land (sq. km),AG.LND.AGRI.K2,359950
Pakistan,PAK,2022,Agricultural land (sq. km),AG.LND.AGRI.K2,359470
Pakistan,PAK,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,360140
Pakistan,PAK,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,366730
Pakistan,PAK,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,362740
Pakistan,PAK,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,369530
Pakistan,PAK,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,370030
Pakistan,PAK,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,367940
Pakistan,PAK,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,362020
Pakistan,PAK,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,362520
Pakistan,PAK,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,362800
Pakistan,PAK,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,360630
Pakistan,PAK,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,359360
Pakistan,PAK,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,352420
Pakistan,PAK,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,352770
Pakistan,PAK,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,353130
Pakistan,PAK,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,360130
Pakistan,PAK,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,361350
Pakistan,PAK,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,359650
Pakistan,PAK,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,360450
Pakistan,PAK,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,368420
Pakistan,PAK,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,368840
Pakistan,PAK,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,369720
Pakistan,PAK,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,366980
Pakistan,PAK,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,367560
Pakistan,PAK,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,367600
Pakistan,PAK,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,366690
Pakistan,PAK,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,361720
Pakistan,PAK,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,360260
Pakistan,PAK,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,357900
Pakistan,PAK,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,357500
Pakistan,PAK,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,353800
Pakistan,PAK,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,352700
Pakistan,PAK,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,352060
Pakistan,PAK,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,358600
Pakistan,PAK,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,353470
Pakistan,PAK,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,366710
Pakistan,PAK,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,355710
